gene	pval
MYL7	8.94E-14
NPPA	3.64E-13
LEFTY2	1.58E-12
POU5F1P4	1.58E-12
POU5F1P3	1.71E-12
TNNI1	6.71E-12
MYH6	1.53E-11
HOXD4	3.86E-11
MYH7	5.25E-11
CA4	5.85E-11
ASS1	8.76E-11
TNNT2	3.15E-10
PMAIP1	3.48E-10
APOC3	3.93E-10
DCLK1	3.93E-10
NPPB	3.93E-10
TDGF1	7.72E-10
MYL3	1.22E-09
ACTA2	1.33E-09
FOXG1	1.49E-09
POU5F1	1.62E-09
NTS	1.72E-09
ZIC3	1.72E-09
HOXA5	2.69E-09
NR2F2	2.79E-09
APOA4	2.98E-09
FGA	3.01E-09
POU5F1P1	3.01E-09
AQP3	3.67E-09
TPM1	4.44E-09
AGTR1	5.58E-09
DLK1	5.58E-09
BMP2	6.67E-09
HOXC6	7.13E-09
COL2A1	7.87E-09
CST1	9.23E-09
CRABP1	1.05E-08
SMPX	1.16E-08
NR2F1	1.23E-08
SERPINE2	1.26E-08
TNNC1	1.32E-08
HOXA9	1.76E-08
SERPIND1	2.01E-08
NKX2-5	2.19E-08
RBM35A	2.19E-08
LDB3	3.16E-08
PAX6	3.44E-08
RRAD	3.91E-08
CTSL2	3.94E-08
SOCS2	4.16E-08
FGB	8.55E-08
COL11A1	1.10E-07
HSPB7	1.22E-07
EDNRA	1.36E-07
MYL4	1.40E-07
GAD1	1.43E-07
ACTA1	1.44E-07
C7orf16	1.45E-07
GSTA2	1.46E-07
AHSG	1.52E-07
MBNL3	2.52E-07
CD55	3.34E-07
EPAS1	3.56E-07
APOA1	3.60E-07
FABP7	3.87E-07
RAB25	3.94E-07
DNMT3B	4.52E-07
TUBB2A	4.73E-07
GPRC5B	4.79E-07
CCKBR	6.83E-07
ZBTB16	6.83E-07
HTATIP2	7.98E-07
SEPP1	8.10E-07
TPBG	8.10E-07
CD44	8.79E-07
LOC100131613	9.23E-07
HOPX	9.53E-07
RBM47	9.77E-07
TFAP2B	9.88E-07
TF	1.01E-06
PTGES3	1.11E-06
HMGCS2	1.18E-06
TFPI	1.65E-06
NCALD	1.73E-06
MAP7	1.77E-06
FGG	2.02E-06
SULF1	2.02E-06
LYN	2.18E-06
SCNN1A	2.18E-06
METRN	2.37E-06
MTTP	2.37E-06
PGA3	2.37E-06
PODXL	2.60E-06
APOC2	2.68E-06
IGFBP2	2.95E-06
FOXD1	2.98E-06
KDELR3	3.24E-06
CA11	3.27E-06
IGF2	3.27E-06
GLI3	3.28E-06
ITGA6	3.34E-06
TTR	4.01E-06
VTN	4.16E-06
USP9X	4.26E-06
AFP	4.40E-06
FGF9	4.76E-06
PTMS	4.76E-06
CD24	4.99E-06
CD1D	5.14E-06
PLN	5.25E-06
GSTO1	5.36E-06
CLDN10	5.43E-06
TAGLN	5.43E-06
CADM1	5.68E-06
CDH1	5.68E-06
DIAPH2	5.80E-06
ST5	5.80E-06
ACTN2	6.02E-06
LOX	6.07E-06
AGT	6.14E-06
FARP1	6.37E-06
PLG	6.57E-06
SIX1	6.89E-06
SLCO2A1	7.37E-06
LOH11CR2A	8.10E-06
PPAP2A	8.12E-06
KCNK1	8.25E-06
KPNB1	8.25E-06
HOXB9	8.27E-06
MAZ	8.40E-06
APOE	8.72E-06
REC8	8.72E-06
TPM2	8.72E-06
RGS13	8.98E-06
DPYS	9.13E-06
DPP4	9.27E-06
MEIS1	9.31E-06
ATP2A2	9.33E-06
SMARCA2	9.72E-06
TFPI2	9.85E-06
ZEB1	1.08E-05
RCHY1	1.21E-05
PCDHGC3	1.22E-05
CCND2	1.23E-05
FST	1.23E-05
RRAS2	1.30E-05
GCNT2	1.32E-05
GREM1	1.34E-05
HOXA4	1.37E-05
HOMER3	1.39E-05
DDAH2	1.45E-05
C13orf18	1.55E-05
PDZK1	1.57E-05
CD74	1.60E-05
PPAP2C	1.63E-05
RAB3B	1.63E-05
FBXO28	1.69E-05
TTYH1	1.82E-05
C5orf23	1.83E-05
GLDC	1.97E-05
RBM8A	1.97E-05
CSRP3	2.02E-05
GRK5	2.07E-05
STEAP1	2.07E-05
WDR82	2.11E-05
AGR2	2.11E-05
KCNK12	2.28E-05
T	2.36E-05
APLP2	2.49E-05
CYP26A1	2.49E-05
PRL	2.49E-05
PRR13	2.49E-05
FAM152A	2.50E-05
CPE	2.63E-05
VAMP8	2.68E-05
GJA1	2.80E-05
PPM1H	2.82E-05
GDF1	2.90E-05
OVOL2	3.06E-05
PRRX2	3.08E-05
CLIC4	3.11E-05
SH3BGR	3.22E-05
SLC39A14	3.22E-05
SDC4	3.23E-05
ZNF208	3.37E-05
HMGA1	3.60E-05
NCAM1	3.68E-05
AMMECR1	3.69E-05
EDNRB	3.69E-05
GDPD2	3.74E-05
MPST	3.77E-05
PKM2	3.84E-05
CYP1B1	4.12E-05
EZR	4.17E-05
SLC7A7	4.23E-05
GAL	4.28E-05
ETV5	4.32E-05
HPGD	4.32E-05
RBP4	4.32E-05
SGPP1	4.32E-05
CD9	4.33E-05
F2RL1	4.33E-05
FKBP1B	4.44E-05
ROD1	4.44E-05
MYCN	4.56E-05
HOXD3	4.68E-05
ZNF428	5.22E-05
ANKS1A	5.24E-05
EVL	5.31E-05
PTPRZ1	5.33E-05
SOBP	5.33E-05
COCH	5.35E-05
FOXK2	5.35E-05
NANOG	5.35E-05
SFRS6	5.53E-05
CIZ1	5.90E-05
ABLIM1	5.93E-05
IGFBP5	5.96E-05
COL13A1	5.97E-05
PDLIM7	5.97E-05
EFEMP1	6.00E-05
HSD17B2	6.00E-05
PPIC	6.00E-05
PCDHGA1	6.04E-05
HLX	6.12E-05
OLFML3	6.18E-05
RNF11	6.30E-05
ISYNA1	6.63E-05
MYST2	6.87E-05
FBLN1	6.95E-05
AKR1D1	7.06E-05
PCOLCE	7.13E-05
SKAP2	7.28E-05
MAPRE2	7.31E-05
MYL9	7.36E-05
PEG10	7.40E-05
ARHGDIB	7.49E-05
FKBP11	7.49E-05
SSBP2	7.49E-05
ANXA2	7.72E-05
CKM	7.90E-05
TNIK	7.90E-05
H1FX	7.90E-05
RNF128	7.90E-05
CYB5A	8.05E-05
LEPR	8.05E-05
KCNQ2	8.11E-05
ACACB	8.22E-05
WWP1	8.34E-05
ETS2	8.65E-05
KCNMB4	8.65E-05
SOX4	8.65E-05
UGP2	8.65E-05
TRIB2	8.67E-05
C1GALT1	8.88E-05
TERF1	8.92E-05
KAL1	8.93E-05
TNFAIP3	8.93E-05
SEC23B	8.99E-05
TAPBP	9.81E-05
SDHD	9.94E-05
MLLT3	0.000100759
PLAGL1	0.000104577
S100A10	0.000104927
BCL6	0.000106388
CHST7	0.0001075
JARID2	0.000108472
LEPREL1	0.000108472
PALLD	0.000114968
PLVAP	0.000116474
SORBS2	0.000117151
GFPT2	0.000118047
DAB2	0.000118688
APBA2	0.000119141
PAM	0.000120818
PDGFC	0.000123378
IGFBP3	0.000125614
SSRP1	0.00012608
SLC7A8	0.000127157
PLXNA1	0.000132316
SERINC3	0.0001333
NME1	0.000136349
APOB	0.000136746
HAS2	0.000136746
SF1	0.000136746
APIP	0.000137694
VEGFB	0.000137732
PYCARD	0.000141615
ANXA9	0.000145157
PPM1B	0.000145546
FXYD6	0.000147017
HSF1	0.000147921
MARCKS	0.000151153
IGSF1	0.000154191
LGR5	0.000154532
FRAT2	0.000155694
C19orf6	0.000161924
VCAM1	0.000161924
IQGAP1	0.000163719
SCG3	0.000165242
HNRPDL	0.000165371
MAF	0.000165794
CTDSPL	0.000170021
GFPT1	0.000174717
MEOX1	0.000174717
PUF60	0.000174717
SLC16A1	0.000176709
TTN	0.000181505
