region	pvalue
chr10:101278725-101278725	6e-9
chr11:2229759-2229759	2e-8
chr11:58408687-58408687	4e-8
chr11:60776209-60776209	5e-15
chr11:61551356-61551356	2e-11
chr11:64150370-64150370	8e-14
chr11:65653242-65653242	4e-8
chr11:76299649-76299649	3e-43
chr11:109956346-109956346	8e-12
chr11:109962432-109962432	1e-9
chr11:114430410-114430410	2e-14
chr11:128194450-128194450	1e-10
chr11:128380974-128380974	2e-10
chr12:6446777-6446777	3e-17
chr12:6502742-6502742	3e-14
chr12:40744394-40744394	4e-17
chr12:48208368-48208368	6e-9
chr12:68508122-68508122	2e-34
chr12:107198611-107198611	2e-8
chr12:111884608-111884608	4e-10
chr13:27531267-27531267	2e-13
chr13:41013977-41013977	7e-11
chr13:44484706-44484706	1e-22
chr8:129567181-129567181	2e-17
chr9:4981602-4981602	5e-43
chr9:34710260-34710260	6e-9
chr9:117569046-117569046	9.999999999999999e-26
chr9:117696336-117696336	1e-14
chr9:117592005-117592005	2e-9
chr9:120475302-120475302	1e-8
chr9:139263891-139263891	5.999999999999999e-45
chr9:139259592-139259592	1e-31
chr9:139389432-139389432	9e-9
chr10:6094697-6094697	1e-15
chr10:6102757-6102757	4e-13
chr10:6042015-6042015	4e-12
chr10:6099045-6099045	4e-8
chr10:6527143-6527143	9e-9
chr10:30691503-30691503	2e-9
chr10:35466185-35466185	5.0000000000000004e-29
chr10:64438486-64438486	3e-48
chr10:64381668-64381668	3e-10
chr10:75669190-75669190	3e-8
chr10:81042475-81042475	2e-22
chr10:82250831-82250831	1e-13
chr10:90749963-90749963	4e-9
chr10:94432000-94432000	3e-11
chr10:101283330-101283330	6e-51
chr6:90973159-90973159	5e-10
chr6:106474749-106474749	1e-21
chr6:106530330-106530330	6e-10
chr6:128277151-128277151	5e-15
chr6:138197824-138197824	1e-16
chr6:137973832-137973832	4e-14
chr6:137963074-137963074	3e-9
chr6:159506600-159506600	5e-17
chr7:2869985-2869985	4e-11
chr7:17197571-17197571	9e-9
chr7:26872581-26872581	3e-18
chr7:28194397-28194397	7e-9
chr7:50323174-50323174	4e-12
chr7:50175654-50175654	2e-9
chr7:98759117-98759117	1e-8
chr7:107480126-107480126	1e-21
chr7:107450033-107450033	5e-11
chr7:128573967-128573967	2e-11
chr7:148220448-148220448	2e-10
chr8:90849305-90849305	2e-10
chr8:126539965-126539965	4e-19
chr8:129227952-129227952	4e-8
chr5:40396425-40396425	7e-28
chr5:40496423-40496423	3e-16
chr5:40201800-40201800	5e-13
chr5:55440730-55440730	2e-8
chr5:71693899-71693899	3e-8
chr5:72539850-72539850	3e-10
chr5:96121715-96121715	5.999999999999999e-54
chr5:96252589-96252589	2e-21
chr5:96174929-96174929	4e-12
chr5:131778452-131778452	2e-55
chr5:141513204-141513204	2e-9
chr5:150229066-150229066	1.9999999999999998e-42
chr5:150469973-150469973	1.9999999999999998e-26
chr5:158827769-158827769	3e-43
chr5:158829527-158829527	3e-34
chr5:158764478-158764478	8.999999999999998e-25
chr5:158783223-158783223	3e-11
chr5:173387509-173387509	1e-8
chr6:14715882-14715882	1e-11
chr6:20643727-20643727	1e-17
chr6:20624382-20624382	5e-9
chr6:90976768-90976768	2e-10
chr1:197701992-197701992	2e-9
chr1:24518643-24518643	1e-8
chr1:200878727-200878727	5e-41
chr1:206943968-206943968	1e-38
chr1:206961628-206961628	3e-11
chr2:9402988-9402988	9e-10
chr2:25097644-25097644	3e-18
chr1:25305114-25305114	9.000000000000001e-29
chr1:67708155-67708155	1e-143
chr1:67681669-67681669	9.999999999999998e-99
chr1:67722567-67722567	2.0000000000000002e-24
chr1:67703442-67703442	6e-14
chr1:114377568-114377568	3e-12
chr1:151801680-151801680	2e-16
chr1:152590663-152590663	4.0000000000000004e-24
chr2:65686461-65686461	3e-8
chr2:102647300-102647300	1e-14
chr2:102975336-102975336	3e-17
chr2:102771282-102771282	1e-9
chr2:163110536-163110536	3e-13
chr2:163124637-163124637	5e-10
chr2:163128824-163128824	2e-9
chr2:163136942-163136942	1e-8
chr2:199560757-199560757	3e-17
chr2:199567687-199567687	1e-10
chr1:22700351-22700351	3e-13
chr1:200101920-200101920	4e-15
chr1:1173611-1173611	2e-10
chr1:2491205-2491205	2e-11
chr1:8022197-8022197	9e-14
chr1:20171860-20171860	6.999999999999999e-62
chr1:20142866-20142866	1.0000000000000001e-24
chr1:20137714-20137714	8e-20
chr2:27730940-27730940	2.0000000000000002e-23
chr2:28614794-28614794	8e-18
chr2:43777964-43777964	2e-16
chr2:61204856-61204856	1.9999999999999998e-32
chr2:61081310-61081310	4e-11
chr2:62560332-62560332	2e-52
chr1:154426264-154426264	9e-18
chr1:155130391-155130391	3e-10
chr1:155194015-155194015	3e-8
chr1:160846284-160846284	2e-11
chr1:161472789-161472789	9.999999999999999e-33
chr1:161473873-161473873	1e-9
chr1:172844352-172844352	1e-17
chr20:30849517-30849517	5e-9
chr20:31348750-31348750	4e-9
chr20:43068996-43068996	7e-16
chr20:44746982-44746982	4e-12
chr20:48440023-48440023	4e-9
chr20:57824309-57824309	4e-12
chr20:62329099-62329099	1.9999999999999998e-30
chr21:16820888-16820888	4.0000000000000003e-28
chr21:34776695-34776695	4e-16
chr21:40463283-40463283	4.9999999999999996e-54
chr21:43855067-43855067	6e-9
chr21:45616324-45616324	6e-25
chr22:21928597-21928597	4e-15
chr22:30163835-30163835	6e-9
chr22:39660829-39660829	1.9999999999999998e-33
chr22:39662550-39662550	4e-9
chr22:45727565-45727565	6e-10
chr10:64354262-64354262	6e-16
chr17:25869033-25869033	3e-19
chr17:26124908-26124908	7e-12
chr17:26097131-26097131	1e-10
chr17:32570547-32570547	5e-21
chr17:38032680-38032680	6e-30
chr17:40527544-40527544	2e-15
chr17:45690351-45690351	2e-14
chr17:54880993-54880993	2e-8
chr17:57989557-57989557	3e-11
chr17:62147192-62147192	8e-10
