region	padj
chr20:4090134-4092134	6.03E-19
chr11:117973237-117975237	3.45E-18
chr1:212634309-212636309	2.21E-17
chr1:212635821-212637821	5.18E-17
chr17:36127082-36129082	1.55E-15
chr20:4081996-4083996	1.55E-15
chr17:36143118-36145118	1.60E-15
chr17:36132988-36134988	5.23E-15
chr1:212637708-212639708	1.70E-14
chr2:113097209-113099209	2.34E-14
chr2:120231206-120233206	2.92E-14
chr17:36131132-36133132	4.43E-14
chr17:36153351-36155351	1.59E-13
chr19:34988412-34990412	1.59E-13
chr4:184859572-184861572	1.59E-13
chr9:114999239-115001239	1.59E-13
chr17:36148367-36150367	6.17E-13
chr11:105161708-105163708	2.07E-12
chr20:4084503-4086503	2.07E-12
chr16:28523643-28525643	8.60E-12
chr14:105033348-105035348	5.16E-11
chr7:157317429-157319429	1.20E-10
chr6:108778824-108780824	2.47E-10
chr11:117958953-117960953	4.95E-10
chr20:49771450-49773450	1.16E-09
chr8:24270974-24272974	2.48E-09
chr5:35883470-35885470	2.68E-09
chr14:105025267-105027267	3.58E-09
chr2:113502282-113504282	3.74E-09
chr8:24244240-24246240	6.03E-09
chr20:49775199-49777199	6.36E-09
chr8:95121884-95123884	6.89E-09
chr14:65209982-65211982	7.58E-09
chr6:108781602-108783602	7.86E-09
chr1:89036423-89038423	9.63E-09
chr6:37050571-37052571	9.63E-09
chr7:20450048-20452048	9.68E-09
chr1:160664662-160666662	1.15E-08
chr19:13207283-13209283	1.16E-08
chr1:89069318-89071318	1.18E-08
chr20:49767554-49769554	1.68E-08
chr9:111943809-111945809	2.25E-08
chr13:76936506-76938506	2.27E-08
chr20:63552982-63554982	4.64E-08
chr14:35375014-35377014	5.70E-08
chr11:117969815-117971815	7.46E-08
chr4:7653156-7655156	7.46E-08
chr7:20437713-20439713	1.09E-07
chr13:76938405-76940405	1.22E-07
chr11:117946087-117948087	1.24E-07
chr9:114995009-114997009	1.33E-07
chr6:113670624-113672624	1.59E-07
chr1:157105696-157107696	1.74E-07
chr2:203742724-203744724	1.79E-07
chr6:37048779-37050779	1.79E-07
chr8:103110679-103112679	2.26E-07
chr17:34313149-34315149	2.26E-07
chr2:20361009-20363009	2.34E-07
chr9:105070155-105072155	2.34E-07
chr14:35373525-35375525	2.37E-07
chr12:24660789-24662789	3.25E-07
chr6:105980517-105982517	3.36E-07
chr6:113667834-113669834	3.36E-07
chr6:113653551-113655551	3.73E-07
chr11:117949561-117951561	3.78E-07
chr8:103104647-103106647	3.85E-07
chr6:14108020-14110020	4.08E-07
chr4:88446584-88448584	4.21E-07
chr19:54288451-54290451	8.37E-07
chr10:110524959-110526959	8.68E-07
chr1:32919727-32921727	9.16E-07
chr6:18327507-18329507	9.16E-07
chr2:162260413-162262413	9.23E-07
chr2:28363114-28365114	9.24E-07
chr8:103079389-103081389	1.05E-06
chr8:24228507-24230507	1.05E-06
chr6:89034314-89036314	1.19E-06
chr2:162257492-162259492	1.26E-06
chr1:247359956-247361956	1.31E-06
chr14:75514265-75516265	1.61E-06
chr7:155360238-155362238	2.02E-06
chr21:38958445-38960445	2.18E-06
chr9:114988442-114990442	2.69E-06
chr1:12152178-12154178	3.41E-06
chr10:70191813-70193813	3.41E-06
chr6:7057551-7059551	3.58E-06
chr5:132497357-132499357	3.76E-06
chr2:42101421-42103421	3.80E-06
chr8:60908874-60910874	3.80E-06
chr3:105358414-105360414	3.93E-06
chr5:151005642-151007642	4.34E-06
chr11:35047028-35049028	4.35E-06
chr11:59679566-59681566	4.35E-06
chr19:18273873-18275873	4.35E-06
chr22:44638085-44640085	4.77E-06
chr1:24847678-24849678	5.20E-06
chr11:117944137-117946137	5.41E-06
chr2:230410886-230412886	5.43E-06
chr3:179473140-179475140	5.57E-06
chr5:132495364-132497364	5.57E-06
chr3:105316999-105318999	5.86E-06
chr19:34973227-34975227	5.86E-06
chr4:184745364-184747364	5.86E-06
chr7:20443599-20445599	7.49E-06
chr3:177242612-177244612	8.14E-06
chr1:160766891-160768891	8.49E-06
chr9:114952985-114954985	8.87E-06
chr1:206752778-206754778	9.52E-06
chr2:234291124-234293124	9.70E-06
chr4:184738914-184740914	1.02E-05
chr11:35049172-35051172	1.07E-05
chr13:23159257-23161257	1.14E-05
chr2:20356886-20358886	1.20E-05
chr10:123996839-123998839	1.26E-05
chr16:56978951-56980951	1.35E-05
chr2:118935973-118937973	1.43E-05
chr2:142867522-142869522	1.44E-05
chr5:151499844-151501844	1.76E-05
