snp	pvalue
rs80174646	1E-143
rs7517847	1E-98
rs2066845	6E-94
rs1992661	1E-74
rs6426833	7E-62
rs17622378	2E-55
rs3197999	7E-55
rs9977672	5E-54
rs469758	6E-54
rs4672505	2E-52
rs10748781	6E-51
rs10995271	3E-48
rs2357623	4E-48
rs10870077	6E-45
rs56167332	3E-43
rs11236797	3E-43
rs10758669	5E-43
rs11749391	2E-42
rs12131796	5E-41
rs3024493	1E-38
rs11614178	2E-34
rs12188300	3E-34
rs2143178	2E-33
rs10800314	1E-32
rs7608910	2E-32
rs141992399	1E-31
rs6062496	2E-30
rs35736272	6E-30
rs26528	3E-29
rs34779708	5E-29
rs6600247	9E-29
rs2823288	4E-28
rs11749040	7E-28
rs74817271	2E-26
rs12968719	2E-26
rs7848647	1E-25
rs3749171	2E-25
rs4456788	6E-25
rs4921482	9E-25
rs3806308	1E-24
rs10889676	2E-24
rs6693105	4E-24
rs1260326	2E-23
rs6561151	1E-22
rs1250573	2E-22
rs74956615	2E-22
rs4946717	1E-21
rs6466198	1E-21
rs2910686	2E-21
rs9889296	5E-21
rs7426056	1E-20
rs59867199	7E-20
rs4655215	8E-20
rs10775412	3E-19
rs1551399	4E-19
rs2024092	2E-18
rs3774937	2E-18
rs13407913	3E-18
rs28550029	3E-18
rs925255	8E-18
rs4129267	9E-18
rs2328530	1E-17
rs6425143	1E-17
rs679574	1E-17
rs6651252	2E-17
rs11624293	2E-17
rs12987977	3E-17
rs17229679	3E-17
rs1860545	3E-17
rs7313895	4E-17
rs2451258	5E-17
rs582757	1E-16
rs17293632	1E-16
rs72796367	1E-16
rs77981966	2E-16
rs4845604	2E-16
rs9687958	3E-16
rs2284553	4E-16
rs11117431	5E-16
rs10761648	6E-16
rs4812833	7E-16
rs61839660	1E-15
rs12942547	2E-15
rs2816958	4E-15
rs2266961	4E-15
rs9491891	5E-15
rs11230563	5E-15
rs12694846	5E-15
rs395157	8E-15
rs4851529	1E-14
rs726657	1E-14
rs12943464	2E-14
rs661054	2E-14
rs11616188	3E-14
rs928722	4E-14
rs367569	5E-14
rs11574938	5E-14
rs183686347	6E-14
rs559928	8E-14
rs3766606	9E-14
rs7097656	1E-13
rs17085007	2E-13
rs34920465	3E-13
rs2111485	3E-13
rs7195296	3E-13
rs73178598	3E-13
rs3118471	4E-13
rs353339	5E-13
rs2476601	3E-12
rs2549803	4E-12
rs76913543	4E-12
rs4917129	4E-12
rs1883832	4E-12
rs259964	4E-12
rs35018800	5E-12
rs28998802	7E-12
rs7115956	8E-12
rs7556897	8E-12
rs1267499	1E-11
rs62097857	1E-11
rs35874463	1E-11
rs2234161	2E-11
rs1333062	2E-11
rs4728142	2E-11
rs4802307	2E-11
rs174535	2E-11
rs11676348	2E-11
rs12075255	3E-11
rs6556411	3E-11
rs2497318	3E-11
rs1292035	3E-11
rs702872	4E-11
rs1182188	4E-11
rs7805114	5E-11
rs17780256	6E-11
rs941823	7E-11
rs116046827	8E-11
rs6434978	1E-10
rs9797244	1E-10
rs1870293	1E-10
rs7933433	1E-10
rs6697886	2E-10
rs72928038	2E-10
rs2538470	2E-10
rs10094579	2E-10
rs11221332	2E-10
rs34804116	3E-10
rs4971079	3E-10
rs7915475	3E-10
rs2145623	3E-10
rs11649613	3E-10
rs13107612	3E-10
rs3184504	4E-10
rs35667974	5E-10
rs1847472	5E-10
rs28701841	6E-10
rs1569414	6E-10
rs4676406	6E-10
rs8006884	7E-10
rs35320439	7E-10
rs196941	8E-10
rs2666218	9E-10
rs9554587	9E-10
rs871656	0.000000001
rs61802846	0.000000001
rs4561177	0.000000001
rs3747517	0.000000002
rs6863411	0.000000002
rs16841904	0.000000002
rs7468800	0.000000002
rs2050392	0.000000002
rs12718244	0.000000002
rs12720356	0.000000002
rs1569328	0.000000002
rs7404095	0.000000003
rs1800682	0.000000004
rs72977586	0.000000004
rs6058869	0.000000004
rs1328454	0.000000004
rs5757584	0.000000004
rs714830	0.000000005
rs16967103	0.000000005
rs4243971	0.000000005
rs2812378	0.000000006
rs35074907	0.000000006
rs11190133	0.000000006
rs11168249	0.000000006
rs1893592	0.000000006
rs140135	0.000000006
rs3776414	0.000000006
rs860262	0.000000007
rs6781808	0.000000008
rs3124998	0.000000009
rs2236379	0.000000009
rs1525735	0.000000009
rs72871627	0.00000001
rs72812861	0.00000001
rs7552167	0.00000001
rs4986790	0.00000001
rs9297145	0.00000001
rs12932970	0.00000001
rs71624119	0.00000002
rs3853824	0.00000002
rs66504140	0.00000002
rs10743181	0.00000002
rs12369214	0.00000002
rs1001007	0.00000002
rs11098964	0.00000002
rs11675538	0.00000003
rs4703855	0.00000003
rs78973538	0.00000003
rs2227551	0.00000003
rs2104286	0.00000004
rs2042011	0.00000004
rs11229555	0.00000004
rs568617	0.00000004
