chr	start	end
chr20	4090134	4092134
chr11	117973237	117975237
chr1	212634309	212636309
chr1	212635821	212637821
chr17	36127082	36129082
chr20	4081996	4083996
chr17	36143118	36145118
chr17	36132988	36134988
chr1	212637708	212639708
chr2	113097209	113099209
chr2	120231206	120233206
chr17	36131132	36133132
chr17	36153351	36155351
chr19	34988412	34990412
chr4	184859572	184861572
chr9	114999239	115001239
chr17	36148367	36150367
chr11	105161708	105163708
chr20	4084503	4086503
chr16	28523643	28525643
chr14	105033348	105035348
chr7	157317429	157319429
chr6	108778824	108780824
chr11	117958953	117960953
chr20	49771450	49773450
chr8	24270974	24272974
chr5	35883470	35885470
chr14	105025267	105027267
chr2	113502282	113504282
chr8	24244240	24246240
chr20	49775199	49777199
chr8	95121884	95123884
chr14	65209982	65211982
chr6	108781602	108783602
chr1	89036423	89038423
chr6	37050571	37052571
chr7	20450048	20452048
chr1	160664662	160666662
chr19	13207283	13209283
chr1	89069318	89071318
chr20	49767554	49769554
chr9	111943809	111945809
chr13	76936506	76938506
chr20	63552982	63554982
chr14	35375014	35377014
chr11	117969815	117971815
chr4	7653156	7655156
chr7	20437713	20439713
chr13	76938405	76940405
chr11	117946087	117948087
chr9	114995009	114997009
chr6	113670624	113672624
chr1	157105696	157107696
chr2	203742724	203744724
chr6	37048779	37050779
chr8	103110679	103112679
chr17	34313149	34315149
chr2	20361009	20363009
chr9	105070155	105072155
chr14	35373525	35375525
chr12	24660789	24662789
chr6	105980517	105982517
chr6	113667834	113669834
chr6	113653551	113655551
chr11	117949561	117951561
chr8	103104647	103106647
chr6	14108020	14110020
chr4	88446584	88448584
chr19	54288451	54290451
chr10	110524959	110526959
chr1	32919727	32921727
chr6	18327507	18329507
chr2	162260413	162262413
chr2	28363114	28365114
chr8	103079389	103081389
chr8	24228507	24230507
chr6	89034314	89036314
chr2	162257492	162259492
chr1	247359956	247361956
chr14	75514265	75516265
chr7	155360238	155362238
chr21	38958445	38960445
chr9	114988442	114990442
chr1	12152178	12154178
chr10	70191813	70193813
chr6	7057551	7059551
chr5	132497357	132499357
chr2	42101421	42103421
chr8	60908874	60910874
chr3	105358414	105360414
chr5	151005642	151007642
chr11	35047028	35049028
chr11	59679566	59681566
chr19	18273873	18275873
chr22	44638085	44640085
chr1	24847678	24849678
chr11	117944137	117946137
chr2	230410886	230412886
chr3	179473140	179475140
chr5	132495364	132497364
chr3	105316999	105318999
chr19	34973227	34975227
chr4	184745364	184747364
chr7	20443599	20445599
chr3	177242612	177244612
chr1	160766891	160768891
chr9	114952985	114954985
chr1	206752778	206754778
chr2	234291124	234293124
chr4	184738914	184740914
chr11	35049172	35051172
chr13	23159257	23161257
chr2	20356886	20358886
chr10	123996839	123998839
chr16	56978951	56980951
chr2	118935973	118937973
chr2	142867522	142869522
chr5	151499844	151501844
chr6	18329788	18331788
chr19	46886478	46888478
chr1	161389170	161391170
chr7	140230937	140232937
chr11	59221946	59223946
chr3	105352700	105354700
chr6	7050610	7052610
chr11	35235485	35237485
chr1	157112219	157114219
chr7	20448332	20450332
chr7	20465708	20467708
chr20	63853417	63855417
chr6	137723842	137725842
chr11	35076981	35078981
chr3	129364359	129366359
chr6	18500478	18502478
chr22	49970141	49972141
chr20	62616872	62618872
chr20	50502514	50504514
chr11	59223926	59225926
chr3	196122054	196124054
chr6	137950347	137952347
chr6	28980911	28982911
chr2	191665306	191667306
chr11	35065488	35067488
chr6	105982254	105984254
chr7	6347839	6349839
chr10	123994290	123996290
chr11	117979429	117981429
chr1	32991769	32993769
chr15	64892705	64894705
chr17	67292599	67294599
chr11	59218097	59220097
chr3	49344709	49346709
chr20	49764338	49766338
chr1	206747614	206749614
chr19	46859727	46861727
chr9	131251758	131253758
chr7	2236470	2238470
chr11	35072942	35074942
chr6	89036310	89038310
chr7	5569100	5571100
chr15	64872222	64874222
chr2	234307795	234309795
chr3	105315286	105317286
chr17	50624659	50626659
chr3	50654094	50656094
chr10	80143357	80145357
chr1	32983757	32985757
chr15	64894773	64896773
chr6	159819699	159821699
chr8	81290362	81292362
chr1	160789205	160791205
chr6	159118868	159120868
chr6	149498675	149500675
chr1	267003	269003
chr6	113762499	113764499
chr6	137956699	137958699
chr21	25369591	25371591
chr14	70886472	70888472
chr6	159817431	159819431
chr19	35912798	35914798
chr20	62623253	62625253
chr6	7085678	7087678
chr20	23115443	23117443
chr6	142701848	142703848
chr6	43915098	43917098
chr11	65491972	65493972
chr20	23141851	23143851
chr17	8369103	8371103
chr5	140601728	140603728
chr9	105006204	105008204
chr11	61166568	61168568
chr1	89080283	89082283
chr16	72202082	72204082
chr17	82216238	82218238
chr19	40830919	40832919
chr4	88658542	88660542
chr15	99452084	99454084
chr1	89085106	89087106
chr9	71677251	71679251
chr11	78800464	78802464
chr12	92601688	92603688
chr6	137728005	137730005
chr3	119569427	119571427
chr6	170004831	170006831
chr5	60726406	60728406
chr2	28359988	28361988
chr5	136019907	136021907
chr7	20596901	20598901
chr6	137815133	137817133
chr7	20476060	20478060
chr11	5624279	5626279
chr3	105351034	105353034
chr5	148765700	148767700
chr7	157301437	157303437
chr6	27156969	27158969
chr3	122313649	122315649
chr12	92603202	92605202
chrX	30734812	30736812
chr8	1744978	1746978
chr7	106344930	106346930
chr10	44947524	44949524
chr20	36883105	36885105
chr3	153273019	153275019
chr4	7649215	7651215
chr7	30277946	30279946
chr12	7511886	7513886
chr1	206744034	206746034
chr17	14453940	14455940
chr6	170012899	170014899
chr6	4357984	4359984
chr2	229282181	229284181
chr16	11538743	11540743
chr19	2289238	2291238
chr2	113082807	113084807
chr15	70256760	70258760
chr3	138872608	138874608
chr2	229339345	229341345
chr15	79977712	79979712
chr12	108637582	108639582
chr21	42079933	42081933
chr11	102390166	102392166
chr2	96485317	96487317
chr11	69039951	69041951
chr1	167714155	167716155
chr2	144662414	144664414
chr10	110491600	110493600
chr15	99454130	99456130
chr2	28358584	28360584
chr6	159116257	159118257
chr5	181216669	181218669
chr6	37207118	37209118
chr12	116443295	116445295
chr15	74053223	74055223
chr3	138875078	138877078
chr19	54793695	54795695
chr4	141207120	141209120
chr3	37374705	37376705
chr6	37032430	37034430
chr11	35029526	35031526
chr17	57045383	57047383
chr2	219159626	219161626
chr4	88612516	88614516
chr8	131815554	131817554
chr12	7542007	7544007
chr16	57892369	57894369
chr1	204397776	204399776
chr11	65470742	65472742
chr1	212487803	212489803
chr6	30032497	30034497
chr17	68232010	68234010
chr6	7072922	7074922
chr18	50829839	50831839
chr3	49243877	49245877
chr20	3710884	3712884
chr3	46060524	46062524
chr20	1802032	1804032
chr3	138861822	138863822
chr8	1735249	1737249
chr15	41374059	41376059
chr9	3741740	3743740
chr7	156639640	156641640
chr16	11531336	11533336
chr19	54794974	54796974
chr17	62967635	62969635
chr3	46192631	46194631
chr2	234289191	234291191
chr6	30101645	30103645
chr6	18472685	18474685
chrX	109500527	109502527
chr11	119509033	119511033
chr19	18167344	18169344
chr1	119612758	119614758
chr1	244318748	244320748
chr10	102444034	102446034
chr3	138841530	138843530
chr3	194571981	194573981
chr16	14284892	14286892
chr6	27478312	27480312
chr2	68856786	68858786
chr1	159798179	159800179
chr17	7393564	7395564
chr19	44687025	44689025
chr17	8118478	8120478
chr2	144700794	144702794
chr9	127898167	127900167
chr19	18160373	18162373
chr6	26304273	26306273
chr6	170048167	170050167
chr20	62501034	62503034
chr4	184313289	184315289
chr9	115007750	115009750
chr9	41357844	41359844
chr11	35087234	35089234
chr6	170046109	170048109
chr9	87839550	87841550
chr6	137810780	137812780
chr2	69306228	69308228
chr11	128883813	128885813
chr5	139634907	139636907
chr2	100751542	100753542
chr1	211596617	211598617
chr9	68974438	68976438
chr1	110639212	110641212
chr4	158913460	158915460
chr19	54265326	54267326
chr6	6799434	6801434
chr6	6787581	6789581
chr22	39002302	39004302
chr11	5631082	5633082
chr18	50841997	50843997
chr17	75296586	75298586
chr12	122973951	122975951
chr2	55281272	55283272
chr1	159820272	159822272
chr7	36735750	36737750
