chr	start	end
chr12	48362098	48394211
chr13	99098570	99105928
chr12	123346753	123348479
chr5	82966606	82991005
chr4	8201291	8203131
chr2	233741867	233750737
chr11	11461169	11496044
chr7	27227575	27232227
chr19	13994155	13998002
chr4	2796208	2800983
chr17	70077734	70113643
chr18	13231624	13235321
chr15	81475495	81492166
chr22	43680163	43683059
chr11	11630804	11641921
chr6	1620641	1623281
chr5	1123828	1126898
chr17	39808541	39815390
chr1	22579535	22585884
chr1	25257727	25258767
chr15	81123504	81133585
chr5	172657465	172659560
chr1	27869253	27871400
chr19	13185658	13192650
chr3	114124276	114138056
chr3	52110680	52112683
chr8	1873486	1879130
chr10	80115765	80120857
chr16	86603276	86607994
chr1	22672938	22678441
chr11	11588443	11600611
chr6	39193212	39196340
chr11	475600	477861
chr7	28101945	28121983
chr7	27232857	27238301
chr17	70434803	70437444
chr19	42389862	42393818
chr1	13863030	13868556
chr21	36235920	36242334
chr4	1031861	1034997
chr5	172921693	172927422
chr12	124984180	124989320
chr20	13322453	13327630
chr10	5687002	5691011
chr16	1133340	1139087
chr2	200236735	200244763
chr20	50105191	50113840
chr9	117028707	117043010
chr16	4729340	4734086
chr19	1463333	1466954
chr7	27983117	27995002
chr13	110994947	110996727
chr6	3243114	3247868
chr16	1586267	1589941
chr8	142306337	142309752
chr21	40019739	40021446
chr17	70857026	70862063
chr15	68656276	68659606
chr17	42644021	42646625
chr19	39798157	39799463
chr2	54611261	54618290
chr10	73788787	73798371
chr6	160692512	160700324
chr20	61451037	61455428
chr18	369763	378566
chr9	128817099	128822438
chr3	184281130	184285305
chr16	2141346	2143546
chr20	17599706	17608348
chr11	12896987	12900051
chr22	47394427	47395294
chr9	130279138	130280988
chr17	80846683	80848607
chr21	48039570	48044907
chr20	34755399	34760820
chr2	173305865	173312762
chr8	21975249	21977669
chr9	131465716	131471292
chr12	63121776	63128339
chr15	89333945	89344957
chr2	238451708	238456640
chr9	136678441	136679985
chr5	177758942	177765472
chr7	2677134	2679925
chr18	390558	401592
chr21	44880921	44884093
chr1	210425511	210426358
chr9	4844221	4851574
chr16	84617707	84620416
chr11	34201196	34205879
chr12	133125751	133128841
chr16	51783030	51789632
chr19	11031213	11033525
chr3	30649533	30658854
chr20	31056835	31059141
chr7	4742585	4743054
chr15	89253047	89264289
chr1	6145131	6148150
chr20	31473745	31480163
chr4	1016143	1021546
chr7	105278393	105284801
chr5	139062715	139064216
chr14	77472141	77483182
chr20	47386062	47390215
chr1	27308701	27311779
chr2	97573746	97580756
chr9	137304448	137306922
chr5	179036326	179039249
chr9	132375684	132377175
chr1	27917471	27921806
chr11	45954587	45956020
chr3	13198900	13203348
chr4	7286862	7289083
chr2	234388408	234391471
chr10	123778147	123780468
chr10	12781583	12783721
chr5	149314719	149325974
chr5	133914948	133916360
chr1	15215394	15217496
chr21	36188890	36193547
chr2	113462323	113467072
chr6	20194714	20207550
chr3	185866642	185869846
chr14	70416445	70420318
chr9	116876801	116883699
chr20	56245733	56248127
chr3	194455640	194462615
chr15	65502593	65505830
chr21	44762672	44764953
chr4	183199388	183203918
chr16	4456832	4459124
chr19	2554490	2556599
chr5	251676	254993
chr17	70119247	70120418
chr17	9158569	9163662
chr5	2111474	2112846
chr16	3891316	3900883
chr19	1840668	1843451
chr11	78657802	78673550
chr18	9988151	9996550
chr20	62395977	62400777
chr5	172844856	172847612
chr15	70034198	70038220
chr8	49304578	49309199
chr9	131389712	131391645
chr1	92268725	92284645
chr1	27844349	27845668
chr7	115994440	115998198
chr15	93592422	93595028
chr13	53353420	53357842
chr6	36964293	36971728
chr11	65348756	65352726
chr3	129312022	129315078
chr10	81040957	81043701
chr1	48234681	48252231
chr17	72630793	72635279
chr19	17194382	17198114
chr7	2702520	2704571
chr1	9005581	9008714
chr18	77358398	77360171
chr10	125718321	125725172
chr16	69925169	69928471
chr10	12739377	12743203
chr10	5700997	5706792
chr4	4832957	4839573
chr6	41374864	41376435
chr19	13155588	13158871
chr17	6556081	6558939
chr8	139781842	139784328
chr18	77161279	77162749
chr7	27241008	27244531
chr1	109815883	109817496
chr18	75798594	75806117
chr7	27905776	27907254
chr1	152661098	152671533
chr12	115510157	115518194
chr9	137437677	137438743
chr14	70393384	70399089
chr19	6261279	6262441
chr20	25519475	25523441
chr19	11470611	11473225
chr19	56163498	56165009
chr6	169806623	169812715
chr22	36859780	36861724
chr9	137330518	137331481
chr7	42212811	42214593
chr9	116953394	116962100
chr3	11644224	11645788
chr12	108039226	108040641
chr7	148177868	148180075
chr3	15358755	15364370
chr16	167592	171511
chr16	70181496	70182699
chr2	101494635	101505634
chr6	3282204	3285297
chr21	39959567	39966295
chr2	241939441	241941702
chr6	45750208	45754824
chr22	27305982	27311147
chr3	52539523	52542097
chr22	33011901	33017244
chr17	28559708	28562549
chr4	1042917	1045102
chr15	67272657	67277756
chr3	16501054	16504316
chr1	46865186	46870442
chr7	129006509	129012887
chr20	22581566	22591021
chr13	114740040	114741004
chr9	131169313	131172251
chr10	5586551	5589135
chr17	70177557	70186510
chr15	67466721	67470941
chr17	77951181	77953068
chr19	49131843	49133365
chr22	45919880	45924727
chr18	72955600	72959985
chr16	70772332	70775301
chr21	46749410	46750304
chr17	29895496	29902589
chr11	1845648	1847041
chr19	50883926	50885758
chr6	157171915	157174809
chr12	54679251	54682731
chr2	65771764	65776721
chr19	38875967	38877428
chr3	195906536	195908962
chr10	133989003	133990756
chr10	72321023	72323881
chr4	8241652	8243926
chr16	69833483	69835429
chr13	99071328	99074462
chr1	21901961	21907487
chr17	55980103	55984932
chr16	86724276	86727915
chr10	6214870	6217705
chr8	140610581	140614099
chr5	470492	472087
chr15	68596960	68603410
chr2	121538511	121539057
chr21	46990906	46991766
chr10	105491769	105495504
chr12	133457590	133459577
chr6	158054358	158057207
chr8	144598545	144601623
chr19	18873621	18875390
chr6	132129746	132134814
chr2	232253394	232255454
chr17	36586574	36591763
chr10	72254323	72259932
chr3	30674279	30680742
chr10	6270054	6274614
chr21	37914667	37917699
chr20	45975640	45978500
chr7	4223197	4224115
chr2	220316303	220319764
chr14	104820343	104823354
chr14	101963247	101964504
chr16	17428938	17431410
chr10	71659812	71672184
chr13	111558384	111564808
chr10	125666178	125672485
chr8	22475804	22478531
chr2	73308287	73310544
chr6	31650283	31651621
chr1	24900756	24904373
chr7	48129444	48130438
chr20	56546177	56553244
chr2	106573853	106584964
chr13	31620794	31625855
chr5	148755945	148760579
chr11	116598591	116602923
chr15	99965423	99967548
chr4	6272367	6275796
chr2	86185949	86188707
chr17	78368748	78374030
chr14	105799707	105802918
chr4	38014896	38016197
chr22	19793482	19795850
chr3	127464953	127468860
chr20	57143003	57146408
chr6	37617437	37618514
chr9	116133599	116138128
chr16	27232684	27237229
chr16	84939460	84941598
chr16	79656615	79663272
chr9	95378165	95380042
chr10	120980560	120984070
chr19	1540901	1543070
chr13	73635940	73641321
chr7	151831402	151835425
chr16	85638918	85640109
chr3	127802142	127803953
chr2	100316668	100320873
chr22	45066345	45070682
chr21	38120603	38124186
chr8	126652696	126654699
chr15	44965102	44973413
chr15	39165214	39172753
chr4	148765088	148771421
chr5	72633644	72639772
chr16	81740584	81743275
chr3	71463188	71468080
chr14	104664897	104666780
chr12	54538897	54541310
chr1	41319232	41326717
chr1	5682106	5684225
chr21	35224621	35227324
chr11	703806	705795
chr8	145051921	145052484
chr22	45234237	45237077
chr22	36040950	36044591
chr19	4362375	4368796
chr13	30573106	30574946
chr12	50362432	50367251
chr21	45767787	45768794
chr1	223963835	223968124
chr13	114464909	114467666
chr1	23240025	23241551
chr3	30329542	30334109
chr13	31398183	31400126
chr18	76370373	76372871
chr3	138739399	138740313
chr16	520827	522324
chr9	130571632	130572353
chr9	98481914	98491772
chr8	1066352	1068787
chr6	166353162	166354531
chr19	14026127	14029011
chr5	141787651	141789120
chr11	707495	709165
chr9	92122531	92125055
chr7	151249252	151250921
chr19	38794064	38795660
chr18	53151191	53157268
chr1	245488632	245490263
chr22	49410064	49411886
chr9	140373096	140375968
chr6	134946569	134954119
chr2	158702221	158711965
chr14	53345202	53351484
chr1	41938315	41944065
chr1	61517306	61518946
chr12	53564414	53568301
chr18	9833517	9839337
chr18	45320655	45322255
chr9	129921513	129925053
chr4	188132996	188136650
chr16	87869819	87874455
chr10	114852851	114857585
chr16	3828787	3834862
chr11	12863039	12869173
chr13	24558287	24561984
chr6	107851939	107858623
chr16	11788876	11792004
chr20	57168039	57169623
chr12	213899	216408
chr9	139223981	139225710
chr8	134297002	134302192
chr1	12170947	12176428
chr17	4927628	4930526
chr17	73485786	73487625
chr5	66035468	66038632
chr10	126267071	126268206
chr14	103497141	103498476
chr1	229193874	229197607
chr21	44777774	44779226
chr20	45745868	45747506
chr7	2894986	2901013
chr19	438813	441686
chr15	101265869	101268012
chr4	3416042	3418015
chr15	65550574	65554573
chr19	13894142	13895824
chr12	110162470	110168800
chr14	90978309	90980542
chr6	168622613	168629370
chr1	201663779	201666675
chr6	107958433	107964293
chr7	97915596	97916906
chr10	12261149	12266675
chr8	28099532	28103001
chr9	110339335	110350996
chr2	67075475	67081529
chr16	86877568	86880840
chr12	108742711	108745350
chr22	40722475	40727185
chr7	4131793	4133585
chr6	169541703	169542882
chr8	25069545	25072236
chr12	123917111	123919219
chr13	114317675	114318852
chr2	149685118	149688516
chr7	129799473	129801470
chr21	45119249	45120700
chr10	81017959	81019994
chr1	15709069	15711878
chr3	66741201	66744847
chr20	39800857	39804215
chr17	75045344	75047256
chr9	79225785	79236135
chr1	205202637	205210236
chr7	151165268	151167072
chr22	36831194	36834333
chr11	68768169	68770599
chr10	122879869	122886185
chr1	62476831	62480085
chr10	121108263	121111007
chr16	85334272	85335144
chr4	7161708	7164103
chr19	17129626	17136324
chr16	49746970	49750736
chr3	53218299	53221365
chr5	73627067	73636576
chr2	232387027	232389975
chr16	88120668	88121926
chr15	84372372	84380332
chr19	16997117	16999272
chr6	118624822	118629450
chr16	3077260	3078271
chr1	39953603	39956590
chr6	56223634	56232637
chr17	18854089	18855313
chr15	63176980	63179809
chr16	79038137	79040340
chr11	125904055	125909557
chr10	71263362	71264520
chr16	54209223	54211100
chr1	210475955	210482085
chr1	235123064	235131145
chr16	86513626	86515253
chr14	32459865	32464302
chr7	6227313	6233693
chr2	101583837	101585911
chr18	76975792	76978924
chr3	46707820	46709336
chr2	128409897	128411504
chr15	49220276	49230336
chr5	72572325	72577270
chr17	66128928	66131760
chr12	117066496	117069756
chr3	184786081	184787718
chr16	84324235	84326686
chr19	18754507	18756204
chr21	40051532	40057288
chr11	78717970	78721729
chr10	104518938	104521299
chr1	234947670	234957018
chr10	73230315	73232423
chr4	89262211	89266426
chr10	5642084	5644163
chr11	44999202	45001316
chr11	126278136	126281839
chr9	34253058	34254802
chr11	123078723	123083681
chr14	101654091	101657335
chr19	5629600	5633556
chr9	129451553	129452089
chr22	21102507	21105410
chr20	19944783	19947262
chr9	116672762	116676795
chr4	1843134	1844451
chr21	32589978	32594829
chr10	113894833	113897710
chr14	102944539	102947338
chr13	24846557	24849942
chr18	29913723	29915198
chr14	81903273	81905673
chr22	27406005	27408755
chr6	143015100	143018817
chr2	232466914	232468881
chr4	1038514	1039758
chr10	73334696	73336657
chr11	66485262	66486807
chr17	74574410	74579784
chr5	130714219	130717295
chr15	93098017	93108044
chr19	8746621	8748390
chr6	168796891	168798817
chr21	40466188	40469201
chr22	23620372	23621989
chr10	126067118	126071581
chr2	105555604	105557319
chr15	76658263	76661114
chr12	124766592	124768266
chr17	75929973	75932635
chr1	221085185	221095308
chr17	63510541	63513371
chr1	46263100	46265725
chr22	46664830	46668919
chr17	6474552	6476694
chr9	92237932	92240432
chr2	134528055	134533113
chr1	12192849	12194051
chr4	47597207	47601585
chr10	124016515	124019402
chr5	173980590	173982778
chr22	44474208	44478196
chr22	46026521	46036120
chr4	11420645	11424264
chr17	73690275	73692396
chr5	114805588	114809272
chr13	52565981	52570541
chr11	123318231	123322688
chr3	54387392	54392591
chr6	167319075	167322161
chr11	61677758	61679914
chr16	54542546	54543684
chr9	112952664	112956522
chr3	21781001	21789974
chr1	92309774	92313116
chr7	55195076	55199040
chr22	43256133	43257410
chr18	56513830	56515063
chr5	112378669	112380748
chr11	69791904	69794259
chr4	166249927	166260616
chr19	15532261	15533726
chr20	58166197	58175872
chr1	204299394	204300708
chr6	890969	894878
chr21	36695879	36703672
chr11	115418148	115421171
chr7	5491814	5493149
chr11	48076175	48086139
chr6	159105311	159109513
chr20	36973730	36976992
chr4	170716912	170717841
chr18	32699459	32703104
chr14	49406995	49414062
chr9	101365319	101367281
chr22	31618284	31622688
chr19	10316641	10317290
chr10	30109470	30110185
chr22	27707623	27710151
chr12	110248589	110250088
chr10	105264207	105268148
chr4	41543318	41550790
chr10	22018755	22023105
chr11	115850687	115852806
chr16	78707061	78709972
chr21	37417098	37421433
chr8	145082109	145084581
chr22	35415745	35418424
chr4	108961448	108969499
chr1	1059780	1062670
chr20	6715982	6717332
chr1	154744835	154746968
chr4	166427396	166432906
chr22	23846369	23849118
chr18	56286067	56287071
chr15	51395959	51402755
chr16	73743742	73747801
chr7	105249330	105253109
chr17	17832859	17847867
chr16	87260222	87261518
chr12	2321149	2322923
chr17	57411719	57415368
chr6	4510567	4512629
chr22	46847950	46849810
chr16	27094133	27096840
chr19	447670	449090
chr11	68517389	68518146
chr12	49883809	49886876
chr8	768034	773571
chr2	139376316	139378926
chr10	80819114	80821318
chr2	241909980	241912737
chr7	72854994	72858389
chr16	84075199	84077473
chr7	863447	864572
chr11	131538664	131541617
chr3	55604616	55608946
chr21	35818099	35820232
chr9	2204426	2214691
chr15	33011779	33016814
chr17	77962633	77963988
chr7	152432490	152434449
chr9	109381920	109384783
chr7	2476997	2478686
chr9	35832290	35837549
chr5	7394308	7395754
chr21	46515635	46519350
chr8	123866886	123871384
chr14	74494036	74500448
chr11	12836537	12838676
chr11	75500392	75507771
chr11	73362498	73365776
chr21	32821402	32824899
chr21	46877824	46878636
chr1	208731552	208737875
chr10	76510895	76514360
chr10	71495811	71499046
chr10	80274467	80281087
chr3	140779378	140784514
chr2	105160838	105161956
chr12	125623340	125625868
chr3	23641308	23644066
chr8	454104	456632
chr7	25351826	25352989
chr9	82590947	82593533
chr2	72154919	72157785
chr15	100833253	100836977
chr6	169035784	169036825
chr3	187523987	187527286
chr3	182082211	182083162
chr2	62162955	62166595
chr20	33607163	33610205
chr16	479064	480459
chr1	203019471	203021736
chr16	83957613	83958600
chr4	13077735	13084120
chr5	149179918	149183798
chr14	86140601	86143803
chr2	218147847	218151301
chr11	134115544	134117724
chr1	244503232	244504923
chr16	72221689	72225140
chr15	99548133	99549795
chr15	84323993	84326248
chr2	101563778	101566197
chr10	25845058	25849485
chr11	111306539	111310713
chr11	60709484	60710974
chr19	34990697	34992289
chr2	111919033	111920907
chr18	76535795	76537236
chr11	130631414	130633295
chr18	73241031	73242317
chr17	1483055	1484702
chr10	98956441	98959418
chr1	53573295	53575250
chr20	55606286	55612610
chr4	88225189	88227854
chr1	32802397	32805112
chr6	6253651	6261665
chr20	6033313	6035247
chr12	116322878	116325245
chr8	37422512	37425266
chr17	64436884	64440103
chr12	116808469	116809267
chr8	61679558	61684133
chr3	9127945	9131657
chr21	47452889	47455051
chr14	97881404	97883101
chr16	70720440	70722454
chr1	46744560	46744619
chr10	560054	561384
chr7	4279888	4281499
chr2	129393233	129397029
chr8	124194402	124195716
chr9	16578808	16587962
chr10	127913464	127914652
chr9	123214663	123217816
chr9	19104679	19106447
chr1	165351541	165353871
chr20	30783376	30784306
chr19	31805833	31808768
chr22	37398665	37402239
chr8	140969034	140970835
chr15	61092622	61096070
chr3	171559244	171569350
chr5	112392073	112394092
chr5	1033429	1034212
chr9	92097197	92098459
chr10	80561658	80563554
chr9	91443071	91446251
chr10	115101622	115107603
chr1	203167619	203170451
chr18	32986827	32989388
chr7	28625385	28628898
chr20	46134648	46138914
chr17	76097926	76100257
chr20	49094798	49095767
chr16	81557187	81557487
chr8	145647698	145649262
chr13	100056129	100058477
chr1	48428627	48434221
chr5	149901762	149903284
chr10	7498285	7499338
chr5	157339089	157340756
chr3	13256361	13262132
chr21	33275013	33279091
chr19	10369423	10370348
chr6	110186565	110189594
chr12	381917	382680
chr2	440946	442513
chr2	113404768	113407481
chr16	81396047	81398199
chr3	15508914	15512536
chr22	20222575	20225391
chr8	75936056	75946121
chr6	17907815	17912184
chr1	27529340	27533348
chr12	1552286	1554799
chr20	31109740	31114366
chr1	31136572	31137774
chr1	21979528	21985617
chr3	126270014	126271416
chr3	30706167	30710950
chr3	72106472	72108295
chr16	86743777	86745012
chr19	2378821	2382326
chr8	216104	219032
chr2	102033084	102035952
chr8	23430886	23433046
chr21	39992024	39998580
chr11	112270125	112272557
chr3	126160971	126164427
chr4	99412731	99417260
chr20	56414436	56416155
chr8	19600739	19607084
chr6	55417661	55423995
chr6	39246516	39248684
chr1	226587481	226589314
chr20	24613336	24616029
chr1	5705578	5707798
chr1	7042677	7046314
chr15	39019580	39033223
chr4	152797110	152801778
chr4	7774576	7774939
chr3	184104316	184104880
chr11	80410281	80414856
chr3	142927968	142931915
chr8	98762403	98764019
chr8	97547317	97549912
chr3	71581436	71583386
chr8	121063689	121069633
chr15	70487941	70489204
chr9	84202578	84204006
chr16	85207370	85209151
chr4	182249476	182253062
chr13	21009606	21010003
chr11	14558477	14561351
chr7	4300554	4304925
chr16	54368579	54373193
chr11	75612973	75617516
chr1	245550238	245555288
chr11	125948792	125954578
chr5	133376222	133381575
chr20	57041742	57044763
chr7	4731375	4734422
chr8	80764563	80767773
chr3	28320606	28325865
chr1	176448351	176450903
chr21	45862374	45862459
chr17	78148381	78150441
chr11	121029421	121035151
chr9	124453605	124456701
chr1	245772512	245774093
chr1	18003083	18004754
chr15	64216279	64218522
chr11	67462783	67463182
chr10	36159413	36165591
chr5	6741101	6748591
chr10	87984642	87986556
chr21	33042256	33044073
chr7	70034369	70037766
chr2	105516303	105518521
chr9	137255102	137257053
chr17	9577997	9580183
chr6	80235044	80237082
chr6	169077206	169081504
chr20	55888490	55892835
chr9	138892960	138893819
chr17	55801426	55813619
chr12	13372998	13380132
chr8	86971275	86976042
chr13	37916576	37928341
chr17	41177495	41180616
chr4	146781142	146784455
chr8	104348394	104351809
chr20	45956594	45960675
chr15	31771138	31774410
chr15	75499057	75500868
chr15	64950944	64952913
chr1	4954114	4956364
chr18	43747525	43748789
chr17	76321142	76323321
chr4	1291004	1291481
chr7	7923976	7932636
chr15	37217518	37219852
chr16	31500183	31500837
