chr	start	end
chr1	25305113	25305114
chr1	67705957	67705958
chr1	67705957	67705958
chr1	67747435	67747436
chr1	154426263	154426264
chr1	161479744	161479745
chr1	200877849	200877850
chr10	81060316	81060317
chr10	81060316	81060317
chr10	81060316	81060317
chr10	101278724	101278725
chr12	6446776	6446777
chr12	111862574	111862575
chr14	88488820	88488821
chr16	28617884	28617885
chr17	26148166	26148167
chr17	45575205	45575206
chr19	10525180	10525181
chr2	62551471	62551472
chr2	62521243	62521244
chr2	62568444	62568445
chr2	62551471	62551472
chr2	102663627	102663628
chr2	182048451	182048452
chr2	241563738	241563739
chr21	40465177	40465178
chr21	40466743	40466744
chr21	45615740	45615741
chr21	45615740	45615741
chr5	96147732	96147733
chr5	96094693	96094694
chr5	96129511	96129512
chr5	96252588	96252589
chr5	96124329	96124330
chr5	158826791	158826792
chr5	158826791	158826792
chr6	25925986	25925987
chr9	139253838	139253839
chr1	8268094	8268095
chr1	24518642	24518643
chr1	25293083	25293084
chr1	67705957	67705958
chr1	67705957	67705958
chr1	67726103	67726104
chr1	152551275	152551276
chr1	152551275	152551276
chr1	152590186	152590187
chr10	81032531	81032532
chr10	81032531	81032532
chr11	109962431	109962432
chr11	128406437	128406438
chr12	56737972	56737973
chr12	56750203	56750204
chr12	112059556	112059557
chr14	35832665	35832666
chr14	35832665	35832666
chr16	11365499	11365500
chr16	31004811	31004812
chr17	26124907	26124908
chr17	40561578	40561579
chr17	78178892	78178893
chr18	51819749	51819750
chr19	10469974	10469975
chr19	10469974	10469975
chr19	10475651	10475652
chr19	10472932	10472933
chr19	10472932	10472933
chr19	10463117	10463118
chr19	10469974	10469975
chr19	10469974	10469975
chr19	10475651	10475652
chr19	10818091	10818092
chr2	61083505	61083506
chr2	61081541	61081542
chr2	61081541	61081542
chr2	61124849	61124850
chr2	62551471	62551472
chr2	62551471	62551472
chr2	163110535	163110536
chr2	163124050	163124051
chr2	163110535	163110536
chr2	163260690	163260691
chr2	163260690	163260691
chr20	48556228	48556229
chr20	48554976	48554977
chr22	21979288	21979289
chr5	96094693	96094694
chr5	96124329	96124330
chr5	96119272	96119273
chr5	96101943	96101944
chr5	96101943	96101944
chr5	131996444	131996445
chr5	150467188	150467189
chr5	158829526	158829527
chr5	158750768	158750769
chr5	158750768	158750769
chr5	158759899	158759900
chr5	158787384	158787385
chr6	577819	577820
chr6	31274554	31274555
chr6	31274554	31274555
chr6	31918859	31918860
chr6	31542307	31542308
chr6	31320537	31320538
chr6	32657435	32657436
chr6	32413544	32413545
chr6	32408496	32408497
chr6	31266089	31266090
chr6	32578051	32578052
chr6	31354181	31354182
chr6	31274379	31274380
chr6	32586853	32586854
chr6	32590952	32590953
chr6	111673713	111673714
chr6	111673713	111673714
chr6	111913261	111913262
chr6	111696090	111696091
chr6	111696090	111696091
chr6	111848190	111848191
chr6	138197823	138197824
chr6	159506599	159506600
chr6	159506599	159506600
chr7	37386236	37386237
chr9	32523736	32523737
chr9	110817019	110817020
